id,title,genres,averageRating,numVotes,releaseYear
tt10930586,Shikara,"Drama, History, Romance",3.4,15510,2020
tt0095560,"Mac and Me","Adventure, Comedy, Family",3.4,14835,1988
tt0469111,"I'll Always Know What You Did Last Summer","Horror, Mystery, Thriller",3.4,13826,2006
tt1594972,"Norm of the North","Adventure, Animation, Comedy",3.4,10287,2016
tt0795461,"Scary Movie V","Comedy, Horror",3.5,78672,2013
tt0110857,"Police Academy: Mission to Moscow","Comedy, Crime",3.5,36712,1994
tt6990206,Crimea,"Action, Drama",3.5,33639,2017
tt0115624,"Barb Wire","Action, Sci-Fi",3.5,31722,1996
tt0372873,"Dragon Wars: D-War","Action, Drama, Fantasy",3.5,25538,2007
tt4667094,"Fifty Shades of Black",Comedy,3.5,23614,2016
tt10481868,"Black Christmas","Horror, Mystery, Thriller",3.5,19515,2019
tt3138104,"The Hungover Games","Adventure, Comedy, Fantasy",3.5,17239,2014
tt12335692,"Last Man Down","Action, Sci-Fi",3.5,14142,2021
tt0157262,"2001: A Space Travesty","Comedy, Sci-Fi",3.5,13085,2000
tt2308733,"Home Alone: The Holiday Heist","Comedy, Crime, Family",3.5,12944,2012
tt0094118,"Teen Wolf Too","Comedy, Fantasy",3.5,12687,1987
tt3053228,"Day of the Dead: Bloodline","Action, Drama, Horror",3.5,12615,2017
tt0462395,"Larry the Cable Guy: Health Inspector","Comedy, Romance",3.5,12560,2006
tt8923396,Jinn,"Drama, Fantasy, Horror",3.5,10589,2019
tt0368226,"The Room",Drama,3.6,96414,2003
tt0119707,"Mortal Kombat: Annihilation","Action, Adventure, Fantasy",3.6,58941,1997
tt8712204,Batwoman,"Action, Adventure, Crime",3.6,46872,2019
tt9196192,Cuties,Drama,3.6,32875,2020
tt0897361,"I Know Who Killed Me","Horror, Mystery, Thriller",3.6,31255,2007
tt1517489,"The Survival of Humanity","Action, Adventure, Comedy",3.6,29004,2011
tt0367093,"Starship Troopers 2: Hero of the Federation","Action, Adventure, Horror",3.6,24800,2004
tt11012066,"Home Sweet Home Alone","Comedy, Crime, Family",3.6,20760,2021
tt13439476,Kaamraj,Drama,3.6,19147,2020
tt0291502,"Swept Away","Comedy, Romance",3.6,18141,2002
tt6988116,Kalank,"Drama, Romance",3.6,17296,2019
tt1185266,"Stan Helsing","Comedy, Fantasy, Horror",3.6,15153,2009
tt1231277,"S. Darko","Drama, Mystery, Sci-Fi",3.6,14618,2009
tt7721946,"Housefull 4","Action, Comedy, Drama",3.6,14586,2019
tt27785645,"Episode #1.7","Comedy, Drama, Romance",3.6,14463,2023
tt1153706,"Dance Flick","Action, Comedy, Music",3.6,12870,2009
tt5456546,"Judwaa 2","Action, Comedy, Romance",3.6,11927,2017
tt7312940,Singularity,"Action, Adventure, Drama",3.6,11755,2017
tt30007864,"The American Society of Magical Negroes","Comedy, Fantasy",3.6,10930,2024
tt9592496,Pogaru,Action,3.6,10390,2021
tt0094074,"Superman IV: The Quest for Peace","Action, Adventure, Sci-Fi",3.7,53833,1987
tt0085750,"Jaws 3-D","Adventure, Horror, Thriller",3.7,49516,1983
tt0432291,"The Fog","Horror, Mystery",3.7,39836,2005
tt0120185,"Spice World","Comedy, Family, Music",3.7,38234,1997
tt0190374,"Dungeons & Dragons","Action, Adventure, Fantasy",3.7,36688,2000
tt0158622,"The Flintstones in Viva Rock Vegas","Comedy, Family, Romance",3.7,25924,2000
tt15387026,Destiny,"Action, Adventure, Drama",3.7,25918,2024
tt0891592,"Street Fighter: The Legend of Chun-Li","Action, Crime, Fantasy",3.7,25593,2009
tt0308208,"Ballistic: Ecks vs. Sever","Action, Crime, Mystery",3.7,21267,2002
tt0283877,"American Psycho II: All American Girl","Horror, Thriller",3.7,18406,2002
tt1091617,"Expelled: No Intelligence Allowed",Documentary,3.7,12218,2008
